Date;Symbol;Open;High;Low;Close;Volume
09.05.2016 14:00;ETHUSD;9.55;10;9.55;10;235.7740748
09.05.2016 14:00;BTCUSD;459.47;463.99;459.47;461;168.253742
09.05.2016 15:00;ETHUSD;10;10;9.99;9.99;10.97356707
09.05.2016 15:00;BTCUSD;461;461.99;460.78;461.99;182.2043414
09.05.2016 16:00;ETHUSD;9.99;9.99;9.79;9.83;62.37945
09.05.2016 16:00;BTCUSD;461.99;463.99;461.99;463.28;238.5934022
09.05.2016 17:00;ETHUSD;9.83;9.83;9.48;9.49;329.553213
09.05.2016 17:00;BTCUSD;463.28;463.99;463.28;463.42;160.8284153
09.05.2016 18:00;ETHUSD;9.49;9.49;9.36;9.36;52.9542
09.05.2016 18:00;BTCUSD;463.42;463.42;463.41;463.42;5.45274579
09.05.2016 19:00;ETHUSD;9.36;9.99;9.36;9.99;49.5
09.05.2016 19:00;BTCUSD;463.42;463.42;461.98;461.99;67.79071009
09.05.2016 20:00;ETHUSD;9.99;9.99;9.97;9.97;10
09.05.2016 20:00;BTCUSD;461.99;461.99;461.98;461.99;34.91811513
09.05.2016 21:00;ETHUSD;9.97;9.97;9.94;9.94;109.177062
09.05.2016 21:00;BTCUSD;461.99;461.99;461.3;461.47;12.62319529
09.05.2016 22:00;ETHUSD;9.94;9.94;9.36;9.36;25
09.05.2016 22:00;BTCUSD;461.47;461.47;460.98;460.98;3.911672728
09.05.2016 23:00;ETHUSD;9.36;9.98;9.36;9.36;25.029058
09.05.2016 23:00;BTCUSD;460.98;460.98;460.97;460.98;2.494232
10.05.2016 00:00;ETHUSD;9.36;9.36;9.36;9.36;0
10.05.2016 00:00;BTCUSD;460.98;460.98;460.97;460.98;6.215812507
10.05.2016 01:00;ETHUSD;9.36;9.36;9.36;9.36;0.5317
10.05.2016 01:00;BTCUSD;460.98;462.98;460.98;462.98;7.92184023
10.05.2016 02:00;ETHUSD;9.36;9.96;9.36;9.36;33.180327
10.05.2016 02:00;BTCUSD;462.98;462.98;462.98;462.98;2.257108723
10.05.2016 03:00;ETHUSD;9.36;9.36;9.36;9.36;0
10.05.2016 03:00;BTCUSD;462.98;462.98;462.97;462.98;2.58976
10.05.2016 04:00;ETHUSD;9.36;9.36;9.36;9.36;0
10.05.2016 04:00;BTCUSD;462.98;462.98;461.77;461.77;8.02908548
10.05.2016 05:00;ETHUSD;9.36;9.36;9.36;9.36;0
10.05.2016 05:00;BTCUSD;461.77;461.77;461.58;461.58;2.506784506
10.05.2016 06:00;ETHUSD;9.36;9.36;9.36;9.36;0
10.05.2016 06:00;BTCUSD;461.58;461.58;461.57;461.57;0.05780452
10.05.2016 07:00;ETHUSD;9.36;9.36;9.36;9.36;0
10.05.2016 07:00;BTCUSD;461.57;461.58;461.57;461.58;2.166404506
10.05.2016 08:00;ETHUSD;9.36;9.36;9.36;9.36;0
10.05.2016 08:00;BTCUSD;461.58;461.58;461.43;461.43;1.56870502
10.05.2016 09:00;ETHUSD;9.36;9.36;9.36;9.36;0
10.05.2016 09:00;BTCUSD;461.43;461.43;459;459;0.33726227
10.05.2016 10:00;ETHUSD;9.36;9.36;9.36;9.36;0
10.05.2016 10:00;BTCUSD;459;459;446.01;449.26;202.422054
10.05.2016 11:00;ETHUSD;9.36;9.5;9.36;9.5;19.9994
10.05.2016 11:00;BTCUSD;449.26;450.59;448.71;450.58;110.429049
10.05.2016 12:00;ETHUSD;9.5;9.95;9.5;9.95;114
10.05.2016 12:00;BTCUSD;450.58;451.8;450.58;451.8;64.04424889
10.05.2016 13:00;ETHUSD;9.95;9.95;9.93;9.93;18.2896406
10.05.2016 13:00;BTCUSD;451.8;453.52;451.8;453.51;41.86504787
10.05.2016 14:00;ETHUSD;9.93;9.93;9.89;9.89;49.87531171
10.05.2016 14:00;BTCUSD;453.51;453.52;453.45;453.46;15.72901338
10.05.2016 15:00;ETHUSD;9.89;9.94;9.43;9.43;95.11596007
10.05.2016 15:00;BTCUSD;453.46;453.46;453.45;453.46;104.4020265
10.05.2016 16:00;ETHUSD;9.43;9.94;9.39;9.94;3.08363927
10.05.2016 16:00;BTCUSD;453.46;454.75;453.46;454.75;71.92648856
10.05.2016 17:00;ETHUSD;9.94;9.94;9.75;9.75;0.76923
10.05.2016 17:00;BTCUSD;454.75;455.12;454.74;455.11;63.83789257
10.05.2016 18:00;ETHUSD;9.75;9.75;9.39;9.39;2
10.05.2016 18:00;BTCUSD;455.11;455.49;454.66;455.07;56.80896646
10.05.2016 19:00;ETHUSD;9.39;9.95;9.39;9.94;55.2441826
10.05.2016 19:00;BTCUSD;455.07;455.07;455.06;455.07;59.72667575
10.05.2016 20:00;ETHUSD;9.94;9.95;9.93;9.93;50.37531172
10.05.2016 20:00;BTCUSD;455.07;455.07;455.07;455.07;21.67197643
10.05.2016 21:00;ETHUSD;9.93;9.94;9.93;9.93;100.176056
10.05.2016 21:00;BTCUSD;455.07;455.07;454.55;454.55;58.29287714
10.05.2016 22:00;ETHUSD;9.93;9.93;9.93;9.93;0
10.05.2016 22:00;BTCUSD;454.55;454.56;453.75;453.75;71.12708263
10.05.2016 23:00;ETHUSD;9.93;9.93;9.4;9.68;104.423
10.05.2016 23:00;BTCUSD;453.75;453.76;451.75;451.75;35.43616408
11.05.2016 00:00;ETHUSD;9.68;9.94;9.68;9.94;50.176056
11.05.2016 00:00;BTCUSD;451.75;451.75;451.74;451.74;13.04217275
11.05.2016 01:00;ETHUSD;9.94;9.95;9.94;9.95;50
11.05.2016 01:00;BTCUSD;451.74;452.21;451.74;452.2;212.080664
11.05.2016 02:00;ETHUSD;9.95;9.95;9.74;9.74;51.100502
11.05.2016 02:00;BTCUSD;452.2;452.21;452.2;452.21;10.36655365
11.05.2016 03:00;ETHUSD;9.74;9.74;9.74;9.74;0
11.05.2016 03:00;BTCUSD;452.21;452.21;452.21;452.21;46.85219883
11.05.2016 04:00;ETHUSD;9.74;9.74;9.74;9.74;0
11.05.2016 04:00;BTCUSD;452.21;452.21;452.21;452.21;9.695242758
11.05.2016 05:00;ETHUSD;9.74;9.74;9.74;9.74;0
11.05.2016 05:00;BTCUSD;452.21;452.25;452.21;452.24;58.34675521
11.05.2016 06:00;ETHUSD;9.74;9.95;9.74;9.95;0.07017631
11.05.2016 06:00;BTCUSD;452.24;453.02;452.24;453.01;14.16026546
11.05.2016 07:00;ETHUSD;9.95;9.95;9.95;9.95;11.322613
